"128v -- Väestöennuste 2019: Väestö iän ja sukupuolen mukaan alueittain, 2019-2040"

"Alue";"Vuosi";"Yhteensä Yhteensä Väestö 31.12. (ennuste 2019)"
"MK18 Kainuu";"2026";67128
"MK18 Kainuu";"2027";66483
"MK18 Kainuu";"2028";65856
"MK18 Kainuu";"2029";65247
"MK18 Kainuu";"2030";64651
"MK18 Kainuu";"2031";64075
"MK18 Kainuu";"2032";63497
"MK18 Kainuu";"2033";62925
"MK18 Kainuu";"2034";62365
"MK18 Kainuu";"2035";61814
"MK18 Kainuu";"2036";61272
"MK18 Kainuu";"2037";60742
"MK18 Kainuu";"2038";60222
"MK18 Kainuu";"2039";59706
"MK18 Kainuu";"2040";59196
"MK19 Lappi";"2019";177457
"MK19 Lappi";"2020";176502
"MK19 Lappi";"2021";175617
"MK19 Lappi";"2022";174785
"MK19 Lappi";"2023";174000
"MK19 Lappi";"2024";173240
"MK19 Lappi";"2025";172505
"MK19 Lappi";"2026";171788
"MK19 Lappi";"2027";171078
"MK19 Lappi";"2028";170359
"MK19 Lappi";"2029";169639
"MK19 Lappi";"2030";168911
"MK19 Lappi";"2031";168182
"MK19 Lappi";"2032";167466
"MK19 Lappi";"2033";166747
"MK19 Lappi";"2034";166033
"MK19 Lappi";"2035";165313
"MK19 Lappi";"2036";164613
"MK19 Lappi";"2037";163896
"MK19 Lappi";"2038";163177
"MK19 Lappi";"2039";162444
"MK19 Lappi";"2040";161697
"MA2 AHVENANMAA";"2019";30042
"MA2 AHVENANMAA";"2020";30303
"MA2 AHVENANMAA";"2021";30557
"MA2 AHVENANMAA";"2022";30800
"MA2 AHVENANMAA";"2023";31044
"MA2 AHVENANMAA";"2024";31279
"MA2 AHVENANMAA";"2025";31511
"MA2 AHVENANMAA";"2026";31733
"MA2 AHVENANMAA";"2027";31957
"MA2 AHVENANMAA";"2028";32159
"MA2 AHVENANMAA";"2029";32356
"MA2 AHVENANMAA";"2030";32558
"MA2 AHVENANMAA";"2031";32739
"MA2 AHVENANMAA";"2032";32921
"MA2 AHVENANMAA";"2033";33100
"MA2 AHVENANMAA";"2034";33268
"MA2 AHVENANMAA";"2035";33428
"MA2 AHVENANMAA";"2036";33583
"MA2 AHVENANMAA";"2037";33738
"MA2 AHVENANMAA";"2038";33886
"MA2 AHVENANMAA";"2039";34040
"MA2 AHVENANMAA";"2040";34176
"MK21 Ahvenanmaa";"2019";30042
"MK21 Ahvenanmaa";"2020";30303
"MK21 Ahvenanmaa";"2021";30557
"MK21 Ahvenanmaa";"2022";30800
"MK21 Ahvenanmaa";"2023";31044
"MK21 Ahvenanmaa";"2024";31279
"MK21 Ahvenanmaa";"2025";31511
"MK21 Ahvenanmaa";"2026";31733
"MK21 Ahvenanmaa";"2027";31957
"MK21 Ahvenanmaa";"2028";32159
"MK21 Ahvenanmaa";"2029";32356
"MK21 Ahvenanmaa";"2030";32558
"MK21 Ahvenanmaa";"2031";32739
"MK21 Ahvenanmaa";"2032";32921
"MK21 Ahvenanmaa";"2033";33100
"MK21 Ahvenanmaa";"2034";33268
"MK21 Ahvenanmaa";"2035";33428
"MK21 Ahvenanmaa";"2036";33583
"MK21 Ahvenanmaa";"2037";33738
"MK21 Ahvenanmaa";"2038";33886
"MK21 Ahvenanmaa";"2039";34040
"MK21 Ahvenanmaa";"2040";34176
